Date,Adj Close,Close,High,Low,Open,Volume
,MA,MA,MA,MA,MA,MA
2023-01-03,342.7143859863281,346.79998779296875,354.6600036621094,343.94000244140625,349.9599914550781,2933600
2023-01-04,350.9660339355469,355.1499938964844,356.9800109863281,349.69000244140625,351.3900146484375,2661000
2023-01-05,347.6258544921875,351.7699890136719,357.55999755859375,351.2699890136719,356.1199951171875,2608500
2023-01-06,363.9282531738281,367.6700134277344,368.7200012207031,355.32000732421875,357.30999755859375,4432800
2023-01-09,367.1946716308594,370.9700012207031,375.0,369.55999755859375,371.6300048828125,3913500
2023-01-10,367.2342224121094,371.010009765625,371.67999267578125,367.2099914550781,368.80999755859375,3485900
2023-01-11,374.0144958496094,377.8599853515625,377.9200134277344,371.260009765625,372.6199951171875,3370200
2023-01-12,375.94464111328125,379.80999755859375,381.1300048828125,376.9200134277344,377.8599853515625,3291200
2023-01-13,371.69830322265625,375.5199890136719,377.8699951171875,374.30999755859375,375.05999755859375,4261000
2023-01-17,371.18365478515625,375.0,378.3299865722656,373.9800109863281,375.0,2814500
2023-01-18,365.1655578613281,368.9200134277344,375.80999755859375,368.5,374.510009765625,2747100
2023-01-19,364.1955261230469,367.94000244140625,370.79998779296875,363.6000061035156,364.6000061035156,3111200
2023-01-20,372.4506530761719,376.2799987792969,376.6199951171875,369.3999938964844,370.2300109863281,3863400
2023-01-23,374.71728515625,378.57000732421875,381.3800048828125,376.3599853515625,376.739990234375,2743900
2023-01-24,376.1427001953125,380.010009765625,390.0,375.2200012207031,390.0,2756200
2023-01-25,378.4984436035156,382.3900146484375,382.55999755859375,375.1000061035156,375.1000061035156,3501900
2023-01-26,373.4007873535156,377.239990234375,384.1099853515625,373.0,383.4100036621094,3718400
2023-01-27,370.2234802246094,374.0299987792969,380.5199890136719,373.3800048828125,376.19000244140625,3405600
2023-01-30,367.3431396484375,371.1199951171875,373.739990234375,369.3999938964844,369.4599914550781,2688600
2023-01-31,366.8284606933594,370.6000061035156,372.4800109863281,367.0199890136719,369.989990234375,3137400
2023-02-01,370.27301025390625,374.0799865722656,376.7799987792969,367.0,368.57000732421875,2951900
2023-02-02,371.1242370605469,374.94000244140625,380.4700012207031,372.79998779296875,379.5199890136719,2761600
2023-02-03,370.1047668457031,373.9100036621094,378.2200012207031,370.489990234375,370.79998779296875,2739600
2023-02-06,369.1742858886719,372.9700012207031,374.3299865722656,369.04998779296875,370.0,2068300
2023-02-07,371.2430419921875,375.05999755859375,377.07000732421875,368.8399963378906,371.510009765625,2309100
2023-02-08,366.5809631347656,370.3500061035156,375.7900085449219,370.1400146484375,373.1700134277344,2193600
2023-02-09,366.6502685546875,370.4200134277344,374.57000732421875,369.25,373.29998779296875,2287600
2023-02-10,363.0968017578125,366.8299865722656,370.25,362.9200134277344,369.6400146484375,2270700
2023-02-13,367.05609130859375,370.8299865722656,371.1400146484375,367.07000732421875,368.55999755859375,2286400
2023-02-14,366.1949462890625,369.9599914550781,373.4100036621094,367.7300109863281,369.5799865722656,1841400
2023-02-15,365.8782043457031,369.6400146484375,369.79998779296875,365.010009765625,366.2799987792969,2203300
2023-02-16,363.8094482421875,367.54998779296875,373.0799865722656,364.8999938964844,364.8999938964844,2792700
